city name,postcode,latitude,longitude
PLOUEZEC,22470,48.738584393, -2.979238556
PLOUEZEC,22470,48.738584393, -2.979238556
KERIEN,22480,48.409393401, -3.230681705
KERPERT,22480,48.389912955, -3.136411171
ST NICOLAS DU PELEM,22480,48.322747291, -3.164354256
PEUMERIT QUINTIN,22480,48.363361135, -3.285099446
ST CONNAN,22480,48.412455613, -3.075119081
ST GILLES PLIGEAUX,22480,48.379694715, -3.086908606
STE TREPHINE,22480,48.265763057, -3.169670965
LANRIVAIN,22480,48.359080915, -3.215237264
MAGOAR,22480,48.401214491, -3.17709856
CANIHUEL,22480,48.337249841, -3.095904413
LANGROLAY SUR RANCE,22490,48.553083641, -2.014425393
PLESLIN TRIGAVOU,22490,48.527547035, -2.071277209
PLESLIN TRIGAVOU,22490,48.527547035, -2.071277209
TREMEREUC,22490,48.560306748, -2.063742233
PLOUER SUR RANCE,22490,48.525076621, -2.006473125
PAIMPOL,22500,48.773414138, -3.054779415
KERFOT,22500,48.736872066, -3.031479505
ST TRIMOEL,22510,48.393649561, -2.541287701
TREBRY,22510,48.345686971, -2.557665973
MONCONTOUR,22510,48.358238515, -2.633786769
PENGUILY,22510,48.371268497, -2.494263392
TREDANIEL,22510,48.346521095, -2.60527508
BREHAND,22510,48.393711255, -2.588788044
ST GLEN,22510,48.353177521, -2.521276583
BINIC ETABLES SUR MER,22520,48.616851128, -2.837862888
GUERLEDAN,22530,48.201483257, -2.957966114
CAUREL,22530,48.217245547, -3.039755655
ST GILLES VIEUX MARCHE,22530,48.250201246, -2.969558154
GUERLEDAN,22530,48.201483257, -2.957966114
ST CONNEC,22530,48.18018553, -2.925741646
TREGLAMUS,22540,48.556965337, -3.254627352
PEDERNEC,22540,48.588026489, -3.277099925
LOUARGAT,22540,48.561117357, -3.340901278
PEDERNEC,22540,48.588026489, -3.277099925
LOUARGAT,22540,48.561117357, -3.340901278
RUCA,22550,48.561815439, -2.335244671
ST POTAN,22550,48.557421713, -2.293195035
HENANBIHEN,22550,48.557983876, -2.381556448
MATIGNON,22550,48.6016128, -2.290149818
PLEBOULLE,22550,48.594827848, -2.333589634
PLEUMEUR BODOU,22560,48.785426229, -3.518763251
TREBEURDEN,22560,48.771011102, -3.558020545
PLEUMEUR BODOU,22560,48.785426229, -3.518763251
PLEUMEUR BODOU,22560,48.785426229, -3.518763251
BON REPOS SUR BLAVET,22570,48.223995004, -3.123600422
PLELAUFF,22570,48.198310035, -3.203805807
LESCOUET GOUAREC,22570,48.169287241, -3.206383116
BON REPOS SUR BLAVET,22570,48.223995004, -3.123600422
ST IGEAUX,22570,48.277397126, -3.114492415
GOUAREC,22570,48.235573754, -3.19559282
BON REPOS SUR BLAVET,22570,48.223995004, -3.123600422
PLOUHA,22580,48.682031087, -2.931519031
LANLOUP,22580,48.709665867, -2.968621964
PLOUHA,22580,48.682031087, -2.931519031
PORDIC,22590,48.567376479, -2.830210008
PORDIC,22590,48.567376479, -2.830210008
PORDIC,22590,48.567376479, -2.830210008
TREGOMEUR,22590,48.567347972, -2.883370675
ST CARADEC,22600,48.191890426, -2.867529495
ST MAUDAN,22600,48.111270043, -2.768196772
TREVE,22600,48.2162507, -2.807521994
ST BARNABE,22600,48.138231608, -2.702078881
HEMONSTOIR,22600,48.157234687, -2.850013854
LOUDEAC,22600,48.17440042, -2.750533945
LA MOTTE,22600,48.231344629, -2.705128661
LANMODEZ,22610,48.845465393, -3.096558927
KERBORS,22610,48.823601194, -3.1817615
PLEUBIAN,22610,48.842891237, -3.134523886
PLEUBIAN,22610,48.842891237, -3.134523886
PLOUBAZLANEC,22620,48.805320954, -3.04473119
PLOUBAZLANEC,22620,48.805320954, -3.04473119
PLOUBAZLANEC,22620,48.805320954, -3.04473119
EVRAN,22630,48.384911528, -1.980060647
